HouseID,Address,ListingPrice,Bedrooms,Bathrooms,SquareFootage,LotSize_Acres,YearBuilt,PropertyType,Status
d9fdc8e4-1053-49c1-9626-6c7232aba091,"118 Nicholas Extensions, Hillsborough, NJ 08214",2309404,3,3.5,3889,1.48,2001,Condo,For Sale
539afcf7-bd2f-441f-9d19-425d86d462c0,"985 Dawn Junction Suite 219, Princeton, NJ 07205",3326950,6,4.5,5554,2.61,2002,Single Family,For Sale
f917d042-35bc-4b3d-9528-ea70b372d373,"39400 Cuevas Pine Apt. 923, Lawrenceville, NJ 08117",2438869,7,4.5,5098,3.34,2005,Single Family,For Sale
b978e23f-aabc-4f8e-a8f7-546a35765a7c,"03016 Cunningham Run, East Brunswick, NJ 07597",2524098,4,6.0,4532,2.33,2014,Multi-Family,For Sale
527ef9ef-570b-4705-9d19-0d0c86abf6e9,"7626 Goodman Ridges Suite 556, Franklin Township, NJ 07110",1729877,4,4.5,3255,1.23,1987,Single Family,For Sale
d13a6b85-29d4-4050-aa54-3a5ff4289458,"303 Flores Shoals, Bridgewater, NJ 08605",3886397,4,6.0,5421,2.22,2016,Single Family,For Sale
e26c16b5-fcb6-4dd2-be76-506bd36710c6,"648 Barbara Port Apt. 718, New Brunswick, NJ 08041",2149232,3,5.0,4218,3.93,2020,Single Family,For Sale
47f7cb88-7c05-4660-a6d4-6a8a464b4ef1,"5977 Mitchell Wall Apt. 134, Plainsboro, NJ 08348",1095613,3,4.0,3463,1.17,1971,Condo,For Sale
79584a45-bbfb-457b-95d2-8872f137a36c,"033 David Crossing, Montgomery, NJ 08623",2124717,6,3.5,4274,2.88,1944,Single Family,For Sale
acfc9ec4-d59e-4eac-a24a-e29eaf9c77b5,"1232 Rachel Causeway Apt. 211, Hillsborough, NJ 07205",3643669,5,4.5,5179,3.61,2001,Single Family,For Sale
72926d7f-9e63-4c18-bb4d-dca32d6f84d0,"26635 Michael Inlet Apt. 874, Plainsboro, NJ 07187",2152119,6,5.0,4322,3.93,1990,Townhouse,For Sale
d091e288-f864-4c2e-b6d5-4437ca86865d,"189 Steven Neck, Hopewell, NJ 08280",783825,6,3.5,3308,1.43,1940,Single Family,For Sale
191c5613-3fac-4dbd-99cc-500ed71c604e,"2091 Skinner Prairie Apt. 208, Woodbridge, NJ 08893",880195,6,2.0,2780,2.35,1997,Single Family,For Sale
308644f8-a3f0-40be-803f-b81e4b2e00cd,"6727 Dunn Mountain, Piscataway, NJ 07680",3942564,7,5.5,6893,3.8,2006,Single Family,For Sale
ac591867-dfcc-4288-a3b2-2a3503262ed5,"93424 Jeanette Crossing, Bridgewater, NJ 08120",1500120,4,4.5,3482,1.34,1942,Single Family,For Sale
afcef5fc-9225-4389-8cd5-bc3c6f2b3649,"02676 Natasha Groves Suite 275, Princeton, NJ 08906",778274,2,3.5,2264,0.87,1982,Single Family,For Sale
748a705d-1496-4dc2-94da-179767bd6f6f,"8683 Hernandez Trafficway Apt. 825, Hillsborough, NJ 08604",651433,2,2.0,1860,1.82,1947,Condo,For Sale
53efea8f-cde7-4d67-83ed-8a8d5c1195ab,"8887 Alexander Lights Apt. 827, Bridgewater, NJ 08660",2358436,5,3.5,4054,2.13,1975,Single Family,For Sale
f33cd1bc-a66a-45db-bfb0-6b7780dc01bd,"22869 Ritter Pine Suite 437, Princeton, NJ 07491",3734441,6,6.0,6327,2.81,1999,Single Family,For Sale
