HouseID,Address,ListingPrice,Bedrooms,Bathrooms,SquareFootage,LotSize_Acres,YearBuilt,PropertyType,Status
e9d0206b-debd-4b8a-b68d-cc770fb32c7d,"840 Vega Spurs Apt. 726, Hillsborough, NJ 08761",1859911,2,4.0,3724,1.44,1965,Single Family,For Sale
b63d84bb-0fdb-467d-a93b-a4f8268dbd2c,"95522 Lawrence Island Apt. 349, Hillsborough, NJ 08834",3270629,6,6.0,6160,2.04,1994,Single Family,For Sale
42bbdaa3-e1ec-49d4-8226-b50937846af5,"511 Michael Spurs, Plainsboro, NJ 07056",2366576,7,3.0,4712,3.23,1972,Single Family,For Sale
da779b26-598e-4bd2-b253-627825fc024d,"99313 Eric Extensions Apt. 851, Hopewell, NJ 08768",3592286,4,6.0,5537,3.25,2023,Townhouse,For Sale
096d4fa5-e555-4109-8338-4c696dfc5552,"631 Savannah Mountain Apt. 500, Princeton, NJ 08478",1183151,6,4.0,3981,0.89,1942,Multi-Family,For Sale
977443af-457b-4d68-ac86-140b1fba51b9,"4640 Renee Mission, East Brunswick, NJ 07602",2327405,5,6.0,5110,1.11,1987,Multi-Family,For Sale
d3e3488a-daf6-4e54-b669-e5bfc74cfa14,"042 Thompson Shore Apt. 618, Woodbridge, NJ 07101",1194954,6,5.0,4104,1.63,1979,Single Family,For Sale
185687b9-1610-4fae-97b3-229f3729cf26,"69549 Sanchez Loop, Hopewell, NJ 08513",3045785,7,6.0,6729,4.66,2015,Condo,For Sale
cfa87ebb-2e8f-432c-ae21-9bee2a897781,"266 Debbie Ports, West Windsor, NJ 08172",2589941,7,3.0,5440,2.61,1948,Single Family,For Sale
2b49e08b-9461-45d1-9ca1-abbc93b15575,"690 Heather Course, Montgomery, NJ 08441",1601916,5,3.5,2963,3.16,1988,Multi-Family,For Sale
aca21fc4-83c7-40a2-a9f4-786250a32f80,"6057 Perez Ports Suite 720, Bridgewater, NJ 07983",1012204,2,4.5,2621,1.7,2014,Single Family,For Sale
6a590a66-ab0a-4ca7-b257-2c80deb9c4b7,"783 Thomas Center Apt. 252, South Brunswick, NJ 08587",3643369,7,6.0,6194,3.53,2001,Single Family,For Sale
a372da64-ecdb-4109-b2e7-96db760257f2,"17111 Richard Views Suite 039, South Brunswick, NJ 08743",989027,2,4.5,2178,1.11,1953,Single Family,For Sale
cffb8445-249b-488b-bb46-442281c5b204,"134 Olivia Viaduct, Princeton, NJ 07292",2867146,7,5.0,5368,1.68,1986,Single Family,For Sale
c4a338e6-5645-4b18-9f53-b6da1d4f0c6d,"18532 Jones Freeway Apt. 396, Woodbridge, NJ 08700",1510676,5,3.0,2991,0.74,2002,Single Family,For Sale
51e8cb76-54a4-4242-9569-62a036651e3a,"976 Jane Branch Suite 296, Plainsboro, NJ 07741",1284627,6,4.5,4069,2.61,1956,Townhouse,For Sale
8de51dae-cf92-4f3f-93b0-e88b962a0520,"803 Michelle Vista, South Brunswick, NJ 08027",2696885,6,5.0,5693,2.2,1994,Condo,For Sale
afa32bbf-3935-4038-a70f-9fc8c4428f09,"286 Camacho Neck Apt. 676, Lawrenceville, NJ 08720",2160981,4,3.5,4415,3.83,2006,Single Family,For Sale
